text,sentiment
"is Bearish",-1
"is bullish",1
"FUD",-1
"FOMO",1
"ATH",1
"increased adoption",1
"decreased adoption",1
"more adopters",1
"financial investor",1
"All Time High",1
"Spike",1
"rally",1
"skyrocket",1
"to the sky",1
"to the moon",1
"mooning",1
"Drop",-1
"Dropping",-1
"Tank",-1
"surges",1
"short",-1
"long",1
"sell wall",-1
"buy wall",1
"altcoins are taking over",-1
"killing",-1
"regulations on",-1
"detain",-1
"arrest",-1
"bad news for",-1
"dump",-1
"dumping",-1
"is pumping",1
"FUDster",-1
"Pump And Dump",-1
"low ROI",-1
"high ROI",1
"mining profitable",1
"fork scam",-1
"is scam",-1
"is bubble",-1
"hacked",-1
"wallets hacked",-1
"stolen",-1
"futures",1
"hype",1
"flipping",1
"hodl",1
"moon",1
"lambo",1
"lambos",1
"mooning",1
"up",1
"keep hodling",1
"congrats",1
"going up",1
"Mining Difficulty increased",-1
"forks are driving price down",-1
"altcoins are driving  price down",-1
"DDoS",-1
"Hardfork is bad",-1
"shorting",-1
"longing",1
"whales controlling the market",-1
"dominance lower",-1
"dominance decreased",-1
"dominance increased",1
"governments regulations",-1
"governments shut down",-1
"exchange was shut down",-1
"exchange closing down",-1
"buy",1
"sell",-1
"start investing in",1
"new investors to",1
"new investments",1
"lose value",-1
"value increase",1
"value drops",-1
"price increase",1
"price decrease",-1
"price drops",-1
"price shooting up",1
"price shoot up",1
"is the future",1
"is fraud",-1
